zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
82349,863,48.083205110387,11.336864580679,urban,375407,48.072361981819,11.355857979948
82362,22390,47.845057150454,11.146089122104,rural,199715,47.852613174667,11.149002328698
82377,16926,47.759400885279,11.381974134523,rural,177752,47.750896865251,11.410164112732
82380,13178,47.790527437523,11.067629083525,rural,171393,47.789444368882,11.052346743917
82383,3996,47.800869896354,11.009546811792,rural,0,,
82386,4870,47.767448141009,11.119557139378,rural,0,,
82387,1256,47.752120018036,11.308199548612,rural,0,,
82389,1758,47.75298295785,11.003958159019,rural,0,,
82390,1412,47.783673513915,11.213481946296,rural,0,,
82392,1147,47.725888575645,11.287165757718,rural,0,,
82393,2631,47.788800910812,11.31876337041,rural,0,,
82395,1575,47.74369655502,11.23477977452,rural,0,,
82396,2390,47.91969256725,11.169473638512,rural,0,,
82398,3438,47.807882326433,11.130178397746,rural,0,,
82399,2310,47.904388485397,11.106727064676,rural,0,,
82401,1861,47.724582619982,10.96290960831,rural,0,,
82402,3180,47.822046194568,11.270056725563,rural,0,,
82404,1130,47.718904769418,11.343823932046,rural,0,,
82405,2251,47.863150181241,11.029821813105,rural,0,,
82407,3244,47.865880372565,11.200667000372,rural,0,,
82409,1332,47.670277232169,10.947371394578,rural,0,,
82418,16089,47.682399451155,11.19793315143,rural,151196,47.685205598016,11.192797042135
82431,3645,47.663204258949,11.382864290529,rural,139077,47.660252755636,11.35891616698
82432,534,47.596784682715,11.327916884675,rural,118409,47.596316872021,11.315779534133
82433,2494,47.659592994671,11.073151538122,rural,133575,47.671332842077,11.051085565224
82435,1180,47.693370123733,10.997186453396,rural,134701,47.687514112309,10.998803560878
82436,1015,47.73275742369,11.17871294406,rural,0,,
82438,1615,47.583623641376,11.197571525582,rural,122453,47.607215710255,11.191845581159
82439,1531,47.686423497221,11.302507914739,rural,144666,47.678659599385,11.304215375286
82441,3351,47.632399403212,11.240310316416,rural,135398,47.648056866215,11.236978566869
82442,1705,47.602520363311,10.965720293028,rural,130974,47.667060803214,11.027863519435
82444,1259,47.644963500037,11.308424514776,rural,136186,47.652906113395,11.312027427435
82445,636,47.631687183509,11.116661507227,rural,131357,47.648376929166,11.119686609441
82447,437,47.722210499741,11.1998466323,rural,0,,
82449,3105,47.704587668591,11.107822205192,rural,152824,47.720024839728,11.147798155608
82467,27021,47.465198959567,11.113712674218,rural,0,,
82481,7769,47.48045691473,11.317532643125,rural,90239,47.467405708274,11.278793998914
82487,5451,47.599099969089,11.070157683119,rural,119769,47.604091396482,11.059132030309
82488,788,47.571248218759,11.035240430452,rural,112559,47.569180155488,11.097189167032
82490,3903,47.534853815417,11.107632298002,rural,107500,47.534563093632,11.116895496688
82491,3632,47.450021233402,11.008082581476,rural,91670,47.473885892309,11.028678611146
82493,393,47.485009060809,11.211200520603,rural,0,,
82494,1596,47.508791330585,11.23501089043,rural,96425,47.495433701798,11.27647437238
82496,3215,47.561667051395,11.154446754775,rural,113371,47.566711388068,11.138715137629
82497,1580,47.616596690595,11.019886710152,rural,120195,47.618168247859,11.023519346964
82499,1463,47.537694309225,11.272130394551,rural,100672,47.519142815845,11.292771584758
82515,18155,47.912088353756,11.426939404585,urban,0,,
82538,24357,47.874290231326,11.4516437887,rural,247876,47.88118626353,11.463173746866
82541,4352,47.890676705131,11.342719567603,urban,235760,47.884681361642,11.382838672365
82544,5591,47.93497868243,11.48314506713,urban,269953,47.923988570324,11.510452044569
82547,4415,47.83502691964,11.400712126831,rural,205641,47.823985106845,11.404993600669
82549,3143,47.814279991856,11.470647132136,rural,206643,47.819178952822,11.476733011563
83022,19821,47.856267017266,12.127705847868,rural,203767,47.851922433253,12.14479451853
83024,17178,47.873353067491,12.111125923823,rural,0,,
83026,25748,47.831563628998,12.099752969772,rural,0,,
83043,18012,47.874741976295,12.015872706191,rural,214985,47.871720080182,12.008570810618
83052,16631,47.888939772982,11.934473967421,rural,216336,47.883303466626,11.929772836067
83059,18688,47.84438514925,12.051663169683,rural,211691,47.8446697681,12.072213565752
83064,11685,47.784984396769,12.082231724526,rural,177456,47.782239335344,12.098795662506
83071,10411,47.855727936262,12.167548887827,rural,195898,47.869031506786,12.167807742176
83075,7981,47.786644004043,12.012129844321,rural,178337,47.783074453551,12.003354718426
83080,5151,47.669619149411,12.13512541445,rural,113545,47.650111268046,12.177273279641
83083,5757,47.839454233393,12.251983463065,rural,177862,47.837318481342,12.202293099829
83088,6814,47.624361001647,12.134520381532,rural,98414,47.606979391609,12.19797624895
83093,8358,47.901902371856,12.300320533273,rural,171417,47.90607351359,12.293325995274
83098,5948,47.73109053233,12.081209804333,rural,153348,47.741814937613,12.122323266692
83101,5721,47.801723529073,12.187015828403,rural,192552,47.835738579346,12.155085240072
83104,7285,47.93483305338,12.016157903944,rural,216424,47.933040945116,12.006699478974
83109,7339,47.903358348053,12.060887994553,rural,211097,47.887816387285,12.085569032404
83112,3088,47.795792479374,12.277314418668,rural,152654,47.803889399881,12.283322739962
83115,4497,47.778053094134,12.146231006193,rural,169538,47.778863252565,12.139416644516
83119,4202,48.01709384053,12.401629066668,rural,161016,47.997158957477,12.400745234928
83122,2754,47.762986240649,12.220475526935,rural,150480,47.776326679084,12.239439746937
83123,3748,48.01021097687,12.30963713075,rural,171947,47.997630794831,12.307952911641
83125,2943,47.929985344188,12.377868308459,rural,158052,47.929735177424,12.389245374734
83126,3023,47.714921458804,12.12885670655,rural,0,,
83128,2777,47.953501265409,12.273673404326,rural,175660,47.946553810782,12.266210909188
83129,1290,47.950437495032,12.320826565619,rural,166782,47.953751519162,12.328191999153
83131,2743,47.721797242707,12.175627103797,rural,0,,
83132,1741,47.971895344868,12.381868528136,rural,159951,47.97637910005,12.396148384537
83134,2700,47.89294757272,12.19577447663,rural,185109,47.900084689937,12.204100343003
83135,4795,47.92628975773,12.120295576417,rural,200859,47.930275418709,12.12374166299
83137,1333,47.983414072344,12.253903853504,rural,181021,47.982107662827,12.23764038308
83139,2747,47.918483520165,12.230092934623,rural,179714,47.928115388358,12.235825912996
83209,10460,47.853181893062,12.370915318199,rural,155918,47.845966013277,12.34391341236
83224,7862,47.790409542958,12.425666378286,rural,124969,47.780494529071,12.474390917265
83229,5761,47.740798292578,12.30994860626,rural,136039,47.766350698659,12.325454124
83233,7008,47.813114014225,12.369760285871,rural,146686,47.827420687457,12.388371840312
83236,5128,47.821649384113,12.481199724929,rural,135011,47.835279600616,12.493787988552
83242,2508,47.668212665318,12.519439056383,rural,95653,47.669468628357,12.468378528729
83246,3647,47.718072800156,12.464074045894,rural,111404,47.721332062784,12.460913517911
83250,3353,47.756805166701,12.447576009513,rural,0,,
83253,3942,47.872166896936,12.328016030663,rural,163410,47.884161636285,12.328303291214
83254,1642,47.89396767154,12.391914808817,rural,0,,
83256,258,47.893243424551,12.468454591663,rural,147374,47.873135704805,12.424441755201
83257,1219,47.904630978764,12.417144153937,rural,150072,47.88456961475,12.415594067069
83259,1758,47.718895851627,12.381949749297,rural,116822,47.727174430463,12.403354764826
83278,19774,47.868515573213,12.632842054775,rural,134238,47.880551071388,12.640068181229
83301,15985,47.952843276472,12.571775046628,rural,148687,47.964337565012,12.582168675045
83308,11871,48.020203407765,12.578703275822,rural,150509,48.039300884547,12.570796250066
83313,8563,47.808556485181,12.676574596742,rural,118754,47.821302309074,12.664936280618
83317,8731,47.85354481727,12.812797997551,urban,108189,47.848119973072,12.814908359416
83324,6777,47.730240864052,12.637931716986,rural,102341,47.748915881934,12.657131387959
83329,6832,47.936454872886,12.723803251521,rural,124096,47.934265083976,12.729639773264
83334,4755,47.766160767576,12.761502280345,rural,96881,47.752166870299,12.748559594256
83339,4945,47.923203494,12.523728231955,rural,143509,47.911019037181,12.535748706391
83342,5817,48.082184868333,12.484593938529,rural,151524,48.083166330089,12.564203545235
83346,5060,47.792968005426,12.57191743414,rural,123537,47.810993227418,12.572111468779
83349,3587,48.006124509774,12.648047586619,rural,140331,48.006229393607,12.637238479781
83352,4473,48.00700026809,12.510102611429,rural,152934,48.007570799026,12.533222816535
83355,4422,47.840085783848,12.540324368896,rural,133451,47.850810790322,12.548273241491
83358,1284,47.938472105173,12.448886798183,rural,150031,47.937737595491,12.477812468821
